Artist,Title,Rank_2022,Rank_2023,Rank_2024,Spotify Track Name,Spotify Track ID,Spotify Popularity,Spotify Duration (ms),Spotify Explicit,Spotify Preview URL,Spotify External Track URL,Spotify Album Name,Spotify Album ID,Spotify Album Release Date,Spotify Album Type,Spotify Total Tracks,Spotify Album Images,Spotify Album External URL,Spotify Artist Name,Spotify Artist ID,Spotify Artist External URL,Spotify Danceability,Spotify Energy,Spotify Key,Spotify Loudness,Spotify Mode,Spotify Speechiness,Spotify Acousticness,Spotify Instrumentalness,Spotify Liveness,Spotify Valence,Spotify Tempo,Spotify Time Signature
Badischer Bürgermeisterchor,Badnerlied,14.0,16.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolls United,Eine Insel mit zwei Bergen,816.0,776.0,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herrn Stumpfes Zieh & Zupf Kapelle,I will,,,1042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchester Erwin Lehn + Die Fußball-Mannschaft der Stuttgarter Kickers,Kickers-Song,1060.0,965.0,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
